Voici quelques exemples de livres de science-fiction et leurs auteurs :

Fondation, Isaac Asimov (1951)
Dune, Frank Herbert (1965)
1984, George Orwell (1949)
La Guerre des mondes, H. G. Wells (1898)
Le Guide du voyageur galactique, Douglas Adams (1979)
Neuromancien, William Gibson (1984)


Voici quelques exemples de livres d'aventure et leurs auteurs :

Le Tour du monde en quatre-vingts jours, Jules Verne (1873)
L'Île au trésor, Robert Louis Stevenson (1883)
Les Naufragés du Wager, Tristan Gooley (2017)
La panthère des neiges, Sylvain Tesson (2019)
L'inventeur, Joseph Kessel (1927)
Les Cavaliers, Jules Verne (1868)



Voici quelques exemples de livres de romance et leurs auteurs :

Orgueil et Préjugés, Jane Austen (1813)
Roméo et Juliette, William Shakespeare (1597)
The Hating Game, Sally Thorne (2016)
La saga Divergente, Veronica Roth (2011-2013)
Fifty Shades of Grey, E.L. James (2011)
The Notebook, Nicholas Sparks (1996)
The Kiss Quotient, Helen Hoang (2018)
The Hating Game, Sally Thorne (2016)

Voici quelques exemples de livres d'horreur et leurs auteurs :

Frankenstein, Mary Shelley (1818)
Dracula, Bram Stoker (1897)
L'Étrange Cas du docteur Jekyll et de M. Hyde, Robert Louis Stevenson (1886)
L'enfant des cimetières, Neil Gaiman (2008)
Misery, Stephen King (1987)
L'exorciste, William Peter Blatty (1971)
Misery, Stephen King (1987)
Carrie, Stephen King (1974)
